seq,cam_view,start_frame,end_frame,url,gait_event,dataset,gait_pat
cljapndqf006h3n6l7e4lfgab,back,4364,4478,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapo4ik006l3n6lut25j34h,front,4561,4808,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapowv3006p3n6l5y18z6yd,back,4975,5195,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljappm1f006t3n6luyx9fn7x,front,5311,5444,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapq6hu006x3n6lhv8a2sxi,back,5638,5728,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapra6y00713n6l1pnc2dcp,front,5851,5987,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapshca00753n6lx3zxny7g,back,6150,6249,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaptbhz00793n6lttmx1m9q,front,6361,6704,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapufzd007d3n6la5hnnij9,back,7021,7360,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapveob007h3n6lzxwbwq40,front,7471,7678,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapw5z9007o3n6lx3gdpodt,back,7941,8151,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapx1to007s3n6l6fnneyz7,front,8250,8537,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapxthz007w3n6l8asb771a,back,8866,9142,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapynp700803n6ln0u4afvp,front,9241,9420,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapzqjr00843n6l6u65dfzi,back,9628,9752,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaq0nri00883n6l3raldiuo,front,9871,10080,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaq18rc008c3n6l6c3135e0,back,10292,10435,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaq23dz008g3n6lwkqgwsuc,front,10561,10821,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaq2u1q008k3n6llu4yrcwl,back,11012,11163,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaq400n008o3n6ls76k3nvx,front,11428,11617,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaq4pam008s3n6liq2iebvy,back,11795,11961,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaq5p9e008w3n6lpfhus2j4,front,12061,12428,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaq6l3400903n6l2dpbfyqp,back,12645,12963,https://www.youtube.com/watch?v=jzkn287X-84,Left initial contact,Abnormal Gait,style
cljaqc7jf00943n6l9cmdtsmn,right side,1,260,https://www.youtube.com/watch?v=pu5Vwf1CBO0,,Abnormal Gait,abnormal
cljaqdekt00983n6ldn9m222j,left side,390,690,https://www.youtube.com/watch?v=pu5Vwf1CBO0,,Abnormal Gait,abnormal
cljaqdzxw009c3n6lo9tgpswu,right side,761,1798,https://www.youtube.com/watch?v=pu5Vwf1CBO0,,Abnormal Gait,abnormal
cljaqfh2m009g3n6l1e9tgem1,left side,2304,3472,https://www.youtube.com/watch?v=pu5Vwf1CBO0,,Abnormal Gait,abnormal
cljaqgysf009k3n6ll9eqg231,front,3865,4092,https://www.youtube.com/watch?v=pu5Vwf1CBO0,,Abnormal Gait,abnormal
cljaqi14m009o3n6lutscti5j,back,4204,4432,https://www.youtube.com/watch?v=pu5Vwf1CBO0,,Abnormal Gait,abnormal
cljaqjnck009t3n6l3yakz4ot,front,4635,5576,https://www.youtube.com/watch?v=pu5Vwf1CBO0,,Abnormal Gait,abnormal
cljaqky9x009x3n6l7nrltuyb,back,6010,6898,https://www.youtube.com/watch?v=pu5Vwf1CBO0,,Abnormal Gait,abnormal
cljaqocwq00a23n6lj8kgw100,front,1,329,https://www.youtube.com/watch?v=N9tJ7I4ls6I,,Abnormal Gait,abnormal
cljaqpie200a63n6li84amx32,back,429,772,https://www.youtube.com/watch?v=N9tJ7I4ls6I,,Abnormal Gait,abnormal
cljaqqdar00aa3n6lblt5iei7,front,792,1900,https://www.youtube.com/watch?v=N9tJ7I4ls6I,,Abnormal Gait,abnormal
cljaqrnsq00ae3n6lo53132n5,back,1937,3162,https://www.youtube.com/watch?v=N9tJ7I4ls6I,,Abnormal Gait,abnormal
cljaqunj200aj3n6lm8st67pq,right side,103,242,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljaqvpdp00an3n6ld9oqnejn,left side,273,432,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljaqwk3x00ar3n6l1dok7jvh,right side,492,663,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljaqxf7400av3n6lk29hlkyg,left side,704,793,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljaqyc4800az3n6l3qio6zbh,right side,810,975,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljaqz2zx00b33n6lrn4zn4tq,left side,1015,1218,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljaqzzus00b73n6lkximasu4,right side,1254,1446,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljar11t100bb3n6ls0aq85hr,right side,1589,1665,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljar1lys00bf3n6lnn8jrx8y,left side,1699,1871,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljar2lr200bj3n6lnesaud88,right side,1906,2091,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljar4zkz00br3n6lp76etiwf,back,2457,2561,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljar5lo000bv3n6l8s10hc7v,front,2609,2684,https://www.youtube.com/watch?v=Q98WKpwIpkE,,Abnormal Gait,abnormal
cljar878f00c03n6ly2v2ay88,right side,1,194,https://www.youtube.com/watch?v=wRntYsztIEY,,Abnormal Gait,cerebral palsy
cljar9bqo00c43n6l2u5zmlru,left side,234,428,https://www.youtube.com/watch?v=wRntYsztIEY,,Abnormal Gait,cerebral palsy
cljar9t8o00c83n6ltculhoct,right side,460,1100,https://www.youtube.com/watch?v=wRntYsztIEY,,Abnormal Gait,cerebral palsy
cljarar9t00cc3n6lqhi9udoc,left side,1246,2009,https://www.youtube.com/watch?v=wRntYsztIEY,,Abnormal Gait,cerebral palsy
cljarbn1y00cg3n6l1u4i0d5l,front,2026,2177,https://www.youtube.com/watch?v=wRntYsztIEY,,Abnormal Gait,cerebral palsy
cljarcfa700ck3n6lfww83ig1,back,2246,2403,https://www.youtube.com/watch?v=wRntYsztIEY,,Abnormal Gait,cerebral palsy
cljarcy3g00co3n6lzsn1x034,front,2416,3100,https://www.youtube.com/watch?v=wRntYsztIEY,,Abnormal Gait,cerebral palsy
cljardvzg00cs3n6loetskba6,back,3353,3891,https://www.youtube.com/watch?v=wRntYsztIEY,,Abnormal Gait,cerebral palsy
cljargosy00cx3n6lm6atozrz,left side,119,205,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljarhldg00d13n6l7utw0lqn,right side,210,520,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljarj6rf00d53n6ljtivf4q7,right side,726,948,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljarkax200d93n6lukx52g1t,right side,983,1224,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljarlbch00dd3n6l9jaubrxq,right side,1226,1348,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljarmcm700dh3n6lxw24hxgx,left side,1350,1508,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljarn9oy00dl3n6l8pg9exfg,right side,1585,1692,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljaroguw00dp3n6lhfddiadu,right side,1767,1956,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljarp08600dt3n6lxa7sysiv,left side,1964,2101,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljarpts600dx3n6l98zqf6yn,right side,2143,2280,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljarqtuz00e13n6lrnox6mfs,right side,2510,2648,https://www.youtube.com/watch?v=R8LRCiTvUz8,,Abnormal Gait,myopathic
cljartjkn00e63n6lh194w640,right side,1,206,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljaruc8p00ea3n6lpgcgdo3d,left side,251,421,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljaruue100ee3n6l6kv3vv1h,right side,452,932,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljarvh1700ei3n6lkjjreiz2,left side,960,1459,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljarw4ip00em3n6lp4xcmkcb,front,1471,1655,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljarwu6700eq3n6lq9mk9ef7,back,1722,1894,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljarxal900eu3n6lsm38n1ra,front,1916,2332,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljary1c800ey3n6lak8hjn7d,right side,2364,2859,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljas04fw00f33n6lm5cvx9g6,front,1,147,https://www.youtube.com/watch?v=DlPDuHBAP7A,,Abnormal Gait,cerebral palsy
cljas134500f73n6lkfbjfayp,right side,156,234,https://www.youtube.com/watch?v=DlPDuHBAP7A,,Abnormal Gait,cerebral palsy
cljas1yfs00fb3n6lna38ui6i,front,438,783,https://www.youtube.com/watch?v=DlPDuHBAP7A,,Abnormal Gait,cerebral palsy
cljas2sou00ff3n6lasppj8h2,front,952,1323,https://www.youtube.com/watch?v=DlPDuHBAP7A,,Abnormal Gait,cerebral palsy
cljas4dqj00fj3n6ldw6wiwpy,right side,1365,1681,https://www.youtube.com/watch?v=DlPDuHBAP7A,,Abnormal Gait,cerebral palsy
cljas5esv00fn3n6lewd5xqdl,right side,1700,1986,https://www.youtube.com/watch?v=DlPDuHBAP7A,,Abnormal Gait,cerebral palsy
cljas6das00fr3n6lhlqzyhq2,right side,2204,2319,https://www.youtube.com/watch?v=DlPDuHBAP7A,,Abnormal Gait,cerebral palsy
cljas71p600fv3n6lk1rzl7y5,front,2421,2974,https://www.youtube.com/watch?v=DlPDuHBAP7A,,Abnormal Gait,cerebral palsy
cljawb5nf00043n6l38chxsod,front,1,202,https://www.youtube.com/watch?v=HDkWDe6FZDg,,Abnormal Gait,myopathic
cljawd01m00093n6l4kx9020l,back,383,465,https://www.youtube.com/watch?v=HDkWDe6FZDg,,Abnormal Gait,myopathic
cljawdoej000d3n6ll5ysj34f,front,538,677,https://www.youtube.com/watch?v=HDkWDe6FZDg,,Abnormal Gait,myopathic
cljawf4e4000h3n6lri4oz9uy,left side,1181,1368,https://www.youtube.com/watch?v=4SZ0b9rjLtw,,Abnormal Gait,antalgic
cljawh4c7000m3n6lkz9es9bl,right side,1470,1614,https://www.youtube.com/watch?v=4SZ0b9rjLtw,,Abnormal Gait,antalgic
cljawkh09000r3n6lmz56x0qk,right side,1,184,https://www.youtube.com/watch?v=uV6dPE2sz7k,,Abnormal Gait,abnormal
cljawlkt0000v3n6lo2s8a5rl,left side,234,446,https://www.youtube.com/watch?v=uV6dPE2sz7k,,Abnormal Gait,abnormal
cljawm39e000z3n6lqdpem506,right side,470,946,https://www.youtube.com/watch?v=uV6dPE2sz7k,,Abnormal Gait,abnormal
cljawmt3400133n6lp41x9vvn,left side,976,1524,https://www.youtube.com/watch?v=uV6dPE2sz7k,,Abnormal Gait,abnormal
cljawo31o00173n6lk7goqxm1,front,1529,1690,https://www.youtube.com/watch?v=uV6dPE2sz7k,,Abnormal Gait,abnormal
cljawov3k001b3n6li7bmdm12,back,1762,1901,https://www.youtube.com/watch?v=uV6dPE2sz7k,,Abnormal Gait,abnormal
cljawpjqr001f3n6lop4rdnzm,front,1921,2377,https://www.youtube.com/watch?v=uV6dPE2sz7k,,Abnormal Gait,abnormal
cljawqrbd001j3n6lqufhfuet,back,2402,2827,https://www.youtube.com/watch?v=uV6dPE2sz7k,,Abnormal Gait,abnormal
cljawsyn6001o3n6l6z20teaj,right side,1,449,https://www.youtube.com/watch?v=IV_IsstW-gA,,Abnormal Gait,abnormal
cljawu5xd001s3n6lejw8p0uv,left side,551,879,https://www.youtube.com/watch?v=IV_IsstW-gA,,Abnormal Gait,abnormal
cljawurcg001w3n6lbuefy26i,right side,902,2079,https://www.youtube.com/watch?v=IV_IsstW-gA,,Abnormal Gait,abnormal
cljawvm5k00203n6lpalr2ose,left side,2106,3206,https://www.youtube.com/watch?v=IV_IsstW-gA,,Abnormal Gait,abnormal
cljawx5x200243n6lr7umgyvq,front,3215,3564,https://www.youtube.com/watch?v=IV_IsstW-gA,,Abnormal Gait,abnormal
cljawy3jy00283n6l7xw1p3ab,back,3673,3924,https://www.youtube.com/watch?v=IV_IsstW-gA,,Abnormal Gait,abnormal
cljawymwi002c3n6l9mbrouqu,front,3956,4980,https://www.youtube.com/watch?v=IV_IsstW-gA,Right initial contact,Abnormal Gait,abnormal
cljawzxb5002g3n6ladcuzi1g,back,5007,5888,https://www.youtube.com/watch?v=IV_IsstW-gA,,Abnormal Gait,abnormal
cljax24er002l3n6l0dnxpdh8,left side,1,216,https://www.youtube.com/watch?v=SxlhJQ4_PMY,,Abnormal Gait,exercise
cljax40az002t3n6lwspyczks,left side,306,603,https://www.youtube.com/watch?v=SxlhJQ4_PMY,,Abnormal Gait,exercise
cljax5by5002x3n6la1cd2oel,left side,676,943,https://www.youtube.com/watch?v=SxlhJQ4_PMY,,Abnormal Gait,exercise
cljax80ln00323n6lqpmv3bw3,right side,251,618,https://www.youtube.com/watch?v=hziyFfJTrQo,,Abnormal Gait,abnormal
cljax9d2p00363n6lx043s1m7,back,147,286,https://www.youtube.com/watch?v=jzJIpY6vRLo,,Abnormal Gait,myopathic
cljaxabfg003a3n6l95mrlcry,front,333,457,https://www.youtube.com/watch?v=jzJIpY6vRLo,Left initial contact,Abnormal Gait,myopathic
cljaxb5y2003e3n6lj1j9qvav,back,785,912,https://www.youtube.com/watch?v=jzJIpY6vRLo,Left initial contact,Abnormal Gait,myopathic
cljaxbq22003i3n6lmzka93uq,front,954,1108,https://www.youtube.com/watch?v=jzJIpY6vRLo,,Abnormal Gait,myopathic
cljaycatw00113n6lai3dpr03,back,518,626,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljayepal00153n6lh4i9j3c8,front,663,774,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljdytzd800083n6l1vuekg83,front,987,1091,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljdyypnd000c3n6lp8jaku1w,back,1158,1264,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljnyb9qa00083n6l2b6wex1t,back,376,441,https://www.youtube.com/watch?v=__CK--Y5I9w,,Abnormal Gait,abnormal
cljnyexjp000d3n6ls42vn87x,right side,155,367,https://www.youtube.com/watch?v=_7bmPmDJuDA,,Abnormal Gait,exercise
cljnyhuig000k3n6l1tt24vl1,front,1,119,https://www.youtube.com/watch?v=_cJ8RK8-Emw,,Abnormal Gait,inebriated
cljnyl8fe000r3n6lrz4uf8bb,back,2148,2454,https://www.youtube.com/watch?v=_JflUshpjnc,,Abnormal Gait,antalgic
cljnyn1z3000v3n6lkxij2r22,back,2551,2885,https://www.youtube.com/watch?v=_JflUshpjnc,,Abnormal Gait,antalgic
cljnyp2jq00123n6l1ijlzyn6,front,201,416,https://www.youtube.com/watch?v=_O8IZaDu8H4,,Abnormal Gait,abnormal
cljnypth200163n6l1dfd5hbf,left side,419,607,https://www.youtube.com/watch?v=_O8IZaDu8H4,,Abnormal Gait,abnormal
cljnyqv6p001a3n6ltpn3im47,back,609,815,https://www.youtube.com/watch?v=_O8IZaDu8H4,,Abnormal Gait,abnormal
cljnythm4001j3n6l7hxzn2c4,left side,59,451,https://www.youtube.com/watch?v=_sf86EFdrqc,,Abnormal Gait,abnormal
cljnyv9zm001n3n6l5midofuq,right side,521,786,https://www.youtube.com/watch?v=_sf86EFdrqc,,Abnormal Gait,abnormal
cljnyxctl001v3n6l9flqlh5e,left side,113,233,https://www.youtube.com/watch?v=_vpgXOzgVgg,,Abnormal Gait,exercise
cljnyzwbo00043n6lugyldlhu,front,143,374,https://www.youtube.com/watch?v=_Wn9oYGpRdM,,Abnormal Gait,parkinsons
cljnz3l34000c3n6ldapq560j,back,971,1140,https://www.youtube.com/watch?v=_Wn9oYGpRdM,,Abnormal Gait,parkinsons
cljnz4e8u000g3n6l1luikppo,front,1213,1290,https://www.youtube.com/watch?v=_Wn9oYGpRdM,,Abnormal Gait,parkinsons
cljnz4y5a000k3n6lkv4b1rjn,back,1311,1430,https://www.youtube.com/watch?v=_Wn9oYGpRdM,,Abnormal Gait,parkinsons
cljnz5sb1000o3n6lntosswwz,front,1482,1562,https://www.youtube.com/watch?v=_Wn9oYGpRdM,,Abnormal Gait,parkinsons
cljnz6vg1000s3n6lxxknbe72,back,1644,1754,https://www.youtube.com/watch?v=_Wn9oYGpRdM,,Abnormal Gait,parkinsons
cljnz7jnj000w3n6lku3pfvtm,front,1797,1886,https://www.youtube.com/watch?v=_Wn9oYGpRdM,,Abnormal Gait,parkinsons
cljo0ytcr00143n6lf5yeso30,right side,716,860,https://www.youtube.com/watch?v=_ZtLRn19mQE,,Abnormal Gait,exercise
cljo0zeft00183n6l0oii1i7y,left side,928,1018,https://www.youtube.com/watch?v=_ZtLRn19mQE,,Abnormal Gait,exercise
cljo10gje001c3n6l07zobvf1,right side,1225,1425,https://www.youtube.com/watch?v=_ZtLRn19mQE,,Abnormal Gait,exercise
cljo11225001g3n6l7zdk56hb,left side,1504,1616,https://www.youtube.com/watch?v=_ZtLRn19mQE,,Abnormal Gait,exercise
cljo15f2p001s3n6lvgsiqoki,right side,1,212,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljo16d9a001w3n6lg07nk76y,left side,244,426,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljo16xom001z3n6lfhv0be5m,right side,443,926,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljo17jg300233n6lfdzpb7r6,left side,957,1460,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljo17yhq00273n6loaq9lln6,front,1465,1669,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljo18eon002b3n6lp02ku0w3,back,1720,1895,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljo19dd1002f3n6lx3t94r7n,front,1914,2330,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljo1a363002j3n6lcjk9wghk,back,2356,2858,https://www.youtube.com/watch?v=0CdEPm-VYwA,,Abnormal Gait,abnormal
cljo1f64d002w3n6lesxbgihr,back,436,824,https://www.youtube.com/watch?v=0cQOoqhD9Mo,,Abnormal Gait,abnormal
cljo1ge6r00303n6lya0vn04h,front,916,1213,https://www.youtube.com/watch?v=0cQOoqhD9Mo,,Abnormal Gait,abnormal
